wall_time,step,mean_ep_length
1723623633,2048,9.050000191
1723624274,4096,5.550000191
1723624758,6144,4.380000114
1723625104,8192,2.880000114
1723625377,10240,2.430000067
1723625563,12288,1.870000005
1723625697,14336,1.49000001
1723625809,16384,1.309999943
1723625909,18432,1.25
1723625996,20480,1.25
1723626070,22528,1.049999952
1723626145,24576,1.049999952
1723626216,26624,1.039999962
1723626284,28672,1.00999999
1723626351,30720,1.019999981
1723626415,32768,1.00999999
1723626479,34816,1.039999962
1723626545,36864,1.029999971
1723626607,38912,1.00999999
1723626669,40960,1
1723626730,43008,1
1723626792,45056,1
1723626854,47104,1
1723626916,49152,1
1723626977,51200,1
1723627040,53248,1
1723627102,55296,1
1723627164,57344,1
1723627225,59392,1
1723627286,61440,1
